end_to_end	chemical_ner	gene_ner	text
(4, 20, CPR_4)	O O O O B-CHEMICAL O O O O O B-CHEMICAL O O O O O O O O O O O O	O O O O O O O O O O B-GENE-Y O O O O O O O O O B-GENE-Y O O	Discovery and optimization of anthranilic acid sulfonamides as inhibitors of methionine aminopeptidase-2 : a structural basis for the reduction of albumin binding .
None	B-CHEMICAL O O O O O O O O O O O O	B-GENE-Y O O B-GENE-Y O O O O O O O O O	Methionine aminopeptidase-2 ( MetAP2 ) is a novel target for cancer therapy .
None	O O O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O O O O	As part of an effort to discover orally active reversible inhibitors of MetAP2 , a series of anthranilic acid sulfonamides with micromolar affinities for human MetAP2 were identified using affinity selection by mass spectrometry ( ASMS ) screening .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O B-GENE-Y O O O O O O O O O O	These micromolar hits were rapidly improved to nanomolar leads on the basis of insights from protein crystallography ; however , the compounds displayed extensive binding to human serum albumin and had limited activity in cellular assays .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O O	O O O O O O O O O O O O O B-GENE-Y O B-GENE-N O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Modifications based on structural information on the binding of lead compounds to both MetAP2 and domain III of albumin allowed the identification of compounds with significant improvements in both parameters , which showed good cellular activity in both proliferation and methionine processing assays .
None	O O O O O O O O O O O O O O O O O	B-GENE-Y O O O B-GENE-Y O O O O O O O O O O O O	Keratinocyte growth factor and acidic fibroblast growth factor are mitogens for primary cultures of mammary epithelium .
None	O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O B-GENE-N O O O O O O O O	Mammary epithelial cells derived from the entire mammary parenchyma or only end buds were isolated by collagenase digestion of mammary glands from virgin mice .
None	O O O O O O O O O O O O	O O O O O O O O O O B-GENE-Y O	Cells were cultured within collagen gels in serum-free medium containing insulin .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O	B-GENE-Y O O O B-GENE-Y O B-GENE-Y O O B-GENE-Y O O O O B-GENE-Y O B-GENE-Y O O O O O O O O O O O	Keratinocyte growth factor ( KGF or FGF-7 ) and acidic fibroblast growth factor ( aFGF or FGF-1 ) stimulated multifold proliferation when added alone to this medium .
None	O O O O O O O O O O O	O O O O O O O B-GENE-N O O O	Growth occurred as three-dimensional colonies within the collagen gel matrix .
None	O O O O O O O O O	B-GENE-Y O O O O O O O O	KGF stimulated growth was unaffected by adding heparin .
None	O O O O O O O O O O O	O O O O O O B-GENE-Y O O O O	Conversely , multifold growth stimulation by acidic FGF required heparin .
None	O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O	Since end buds are the actively proliferating cell population of ductal glands , organ cultures of these structures were prepared .
None	O O B-CHEMICAL O O O O O O O O O O O O O O O	B-GENE-Y O O O O O O O O O O O O O B-GENE-Y O O O	KGF stimulated 3H-thymidine incorporation in these end buds in the absence and presence of epidermal growth factor .
None	O O O O O O O O O O O O O O O O O O O O O	O O O O B-GENE-Y O O B-GENE-Y O O O O O O O O O O O O O	These data suggest that acidic FGF and KGF may represent in vivo stromal factors capable of regulating mammary gland development .
None	O O O O O O O O O O O O O B-CHEMICAL O O	O O O O O O O O O O O O B-GENE-Y O O O	Configuration of a scintillation proximity assay for the activity assessment of recombinant human adenine phosphoribosyltransferase .
(14, 0, CPR_9) , (16, 0, CPR_9)	B-CHEMICAL O O O O O B-CHEMICAL O O O O O O O B-CHEMICAL O B-CHEMICAL O O	B-GENE-Y O O O O O O O O O O O O O O O O O O	Adenine phosphoribosyltransferase plays a role in purine salvage by catalyzing the direct conversion of adenine to adenosine monophosphate .
None	O O O O B-CHEMICAL O O O O O O O O B-CHEMICAL O O O O O O O O O	O O O O O O O O O O O O O B-GENE-Y O O O O O O O O O	The involvement of the purine salvage pathway in tumor proliferation and angiogenesis makes adenine phosphoribosyltransferase a potential target for oncology drug discovery .
None	O O O O O O O B-CHEMICAL B-CHEMICAL O B-CHEMICAL O O	O O O O O O O O O B-GENE-Y O O O	We have expressed and characterized recombinant , N-terminally His-tagged human adenine phosphoribosyltransferase .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Two assay formats were assessed for use in a high throughput screen : a spectrophotometric-based enzyme-coupled assay system and a radiometric ionic capture scintillation proximity bead assay format .
None	O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O	Ultimately , the scintillation proximity assay format was chosen because of automated screening compatibility limitations of the coupled assay .
None	O O O O O O O B-CHEMICAL O O O O O O O O O O O O O O O O O O	O O O O O O O B-GENE-Y O O O O O O O O O O O O O O O O O O	We describe here the biochemical characterization of adenine phosphoribosyltransferase and the development of a robust , homogeneous , 384-well assay suitable for high throughput screening .
None	O O O O O O O	B-GENE-Y O O O O O O	Cholinesterase inhibitors for Alzheimer 's disease .
(28, 8, CPR_4) , (30, 8, CPR_4) , (32, 8, CPR_4)	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O O	O O O O O O O O B-GENE-Y O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	BACKGROUND : Since the introduction of the first cholinesterase inhibitor ( ChEI ) in 1997 , most clinicians and probably most patients would consider the cholinergic drugs , donepezil , galantamine and rivastigmine , to be the first line pharmacotherapy for mild to moderate Alzheimer 's disease .
(17, 30, CPR_9)	O O O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-GENE-Y O	The drugs have slightly different pharmacological properties , but they all work by inhibiting the breakdown of acetylcholine , an important neurotransmitter associated with memory , by blocking the enzyme acetylcholinesterase .
None	O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O	The most that these drugs could achieve is to modify the manifestations of Alzheimer 's disease .
None	O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O	Cochrane reviews of each ChEI for Alzheimer 's disease have been completed ( Birks 2005 , Birks 2005b and Loy 2005 ) .
None	O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O	Despite the evidence from the clinical studies and the intervening clinical experience the debate on whether ChEIs are effective continues .
None	O O O O O O O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O	OBJECTIVES : To assess the effects of donepezil , galantamine and rivastigmine in people with mild , moderate or severe dementia due to Alzheimer 's disease .
None	O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O O B-CHEMICAL O O O B-CHEMICAL O O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O O B-CHEMICAL O O O B-CHEMICAL O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	SEARCH STRATEGY : The Cochrane Dementia and Cognitive Improvement Group 's Specialized Register was searched using the terms ' donepezil ' , ' E2020 ' , ' Aricept ' , galanthamin * galantamin * reminyl , rivastigmine , exelon ,  ENA 713  and ENA-713 on 12 June 2005 .
None	O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O	This Register contains up-to-date records of all major health care databases and many ongoing trial databases .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	SELECTION CRITERIA : All unconfounded , blinded , randomized trials in which treatment with a ChEI was compared with placebo or another ChEI for patients with mild , moderate or severe dementia due to Alzheimer 's disease .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	DATA COLLECTION AND ANALYSIS : Data were extracted by one reviewer ( JSB ) , pooled where appropriate and possible , and the pooled treatment effects , or the risks and benefits of treatment estimated .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	MAIN RESULTS : The results of 13 randomized , double blind , placebo controlled trials demonstrate that treatment for periods of 6 months and one year , with donepezil , galantamine or rivastigmine at the recommended dose for people with mild , moderate or severe dementia due to Alzheimer 's disease produced improvements in cognitive function , on average -2.7 points ( 95%CI -3.0 to -2.3 ) , in the midrange of the 70 point ADAS-Cog Scale .
None	O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O	Study clinicians blind to other measures rated global clinical state more positively in treated patients .
None	O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O	Benefits of treatment were also seen on measures of activities of daily living and behaviour .
None	O O O O O O O O	O O O O O O O O	None of these treatment effects are large .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	There is nothing to suggest the effects are less for patients with severe dementia or mild dementia , although there is very little evidence for other than mild to moderate dementia .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O	More patients leave ChEI treatment groups , approximately 29 % , on account of adverse events than leave the placebo groups ( 18 % ) .
None	O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O	There is evidence of more adverse events in total in the patients treated with a ChEI than with placebo .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O	Although many types of adverse event were reported , nausea , vomiting , diarrhoea , were significantly more frequent in the ChEI groups than in placebo .
None	O O O O O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O B-CHEMICAL O O O O B-CHEMICAL O O B-CHEMICAL O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	There are four studies , all supported by one of the pharmaceutical companies , in which two ChEIs were compared , two studies of donepezil compared with galantamine , and two of donepezil compared with rivastigmine .
None	O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O	In three studies the patients were not blinded to treatment , only the fourth , DON vs RIV/Bullock is double blind .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O	Two of the studies provide little evidence , they are of 12 weeks duration , which is barely long enough to complete the drug titration .
None	O O O O O O O O O O O O O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	There is no evidence from DON vs GAL/Wilcock of a treatment difference between donepezil and galantamine at 52 weeks for cognition , activities of daily living , the numbers who leave the trial before the end of treatment , the number who suffer any adverse event , or any specific adverse event .
None	O O O O O O O O O O O O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	There is no evidence from DON vs RIV/Bullock of a difference between donepezil and rivastigmine for cognitive function , activities of daily living and behavioural disturbance at two years .
